notification_id,work_order_id,functional_location,asset_id,notification_date,notification_priority,notification_source,detected_by_team,inspection_route_type,symptom,failure_mode,repeat_failure_code,responsible_discipline,reassigned_discipline,planner_group,notification_status,order_created_date,order_type,order_status,planned_start_date,planned_finish_date,actual_start_date,actual_end_date,replanning_count,closure_code,closure_text,action_type,action_text,defect_confirmed,labor_hours,maintenance_cost,linked_loss_event_id,island,area,system_id,system_name,asset_type,asset_criticality,converted_to_order,closed_without_order,confirmed_closed_without_order,unconfirmed_closed_without_order,recurrent_notification,days_since_previous_same_defect,notification_age_days,days_to_order,execution_lead_days,active_backlog,risk_class,risk_sort_order,defect_status,maintenance_response_state
N0000144,,PLT-FL-DRY-HYD,P-DRY-HYD-01,2023-04-23,2,Operator Report,Drying - Operations,,Hydraulic pressure decays with no external leak.,HYD_INTERNAL_LEAKAGE,HYD_INTERNAL_LEAKAGE,Mechanical,,DRY-MECHANICAL,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.90,313.20,,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,Hydraulic Pump,A,FALSE,TRUE,TRUE,FALSE,FALSE,,937,,,FALSE,R2,2,Defect almost failure,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000145,,PLT-FL-DIG-CIR,M-DIG-CIR-01,2023-04-24,3,Operator Route,Digester - Operations,Sensory Route,Localized heating at electrical connection.,TERMINAL_HEATING,TERMINAL_HEATING,Condition Monitoring,,DIG-CONDITION_MONITORING,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.08,204.21,,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Motor,A,FALSE,TRUE,TRUE,FALSE,FALSE,,936,,,FALSE,R5,5,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000146,,PLT-FL-BLE-STW,DPIT-BLE-STW-01,2023-04-25,3,Operator Route,Bleaching - Operations,Sensory Route,Measured output outside calibration tolerance.,CALIBRATION_DEVIATION,CALIBRATION_DEVIATION,Instrumentation,,BLE-INSTRUMENTATION,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.87,200.83,,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,Differential Pressure Transmitter,C,FALSE,TRUE,TRUE,FALSE,FALSE,,935,,,FALSE,R9,9,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000147,WO0000080,PLT-FL-BLE-CHM,M-BLE-CHM-01,2023-04-25,2,Operator Route,Bleaching - Operations,Sensory Route,Motor bearing vibration above baseline.,MOTOR_BEARING_VIBRATION,MOTOR_BEARING_VIBRATION,Electrical,,BLE-ELECTRICAL,Closed,2023-04-25,PM02,Completed,2023-05-13,2023-05-15,2023-05-13,2023-05-15,0,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,17.84,11504.28,,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,Motor,B,TRUE,FALSE,FALSE,FALSE,FALSE,,935,0,20,FALSE,R4,4,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000148,WO0000081,PLT-FL-BLE-TWR,M-BLE-TWR-01,2023-04-25,1,Maintenance Sensory Route,Bleaching - Maintenance Route A,Sensory Route,Motor bearing vibration above baseline.,MOTOR_BEARING_VIBRATION,MOTOR_BEARING_VIBRATION,Electrical,,BLE-ELECTRICAL,Closed,2023-04-29,CM01,Completed,2023-05-12,2023-05-12,2023-05-12,2023-05-12,1,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,18.74,12088.58,,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,Motor,B,TRUE,FALSE,FALSE,FALSE,FALSE,,935,4,17,FALSE,R3,3,Fault,COMPLETED_CORRECTIVE_ACTION
N0000149,WO0000082,PLT-RU-CAU-LMH,P-CAU-LMH-01,2023-04-25,3,Operator Route,Causticizing - Operations,Sensory Route,Elevated vibration at pump bearing housing.,PUMP_BEARING_VIBRATION,PUMP_BEARING_VIBRATION,Mechanical,,CAU-MECHANICAL,Closed,2023-04-28,PM02,Completed,2023-05-31,2023-06-02,2023-05-31,2023-06-02,1,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,18.18,12864.72,,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,Pump,B,TRUE,FALSE,FALSE,FALSE,FALSE,,935,3,38,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000150,,PLT-RU-CAU-SLK,SLK-CAU-SLK-01,2023-04-27,3,Planned Inspection,Causticizing - Inspection,Planned Inspection,Process differential pressure above normal operating range.,PROCESS_RESTRICTION,PROCESS_RESTRICTION,Mechanical,,CAU-MECHANICAL,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.64,152.62,,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,Slaker,A,FALSE,TRUE,TRUE,FALSE,TRUE,93,933,,,FALSE,R5,5,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000151,WO0000083,PLT-FL-BLE-CHM,FT-BLE-CHM-01,2023-04-29,1,Maintenance Sensory Route,Bleaching - Maintenance Route A,Sensory Route,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Automation,,BLE-AUTOMATION,Closed,2023-04-30,CM01,Completed,2023-05-09,2023-05-11,2023-05-09,2023-05-11,1,WORK_COMPLETED,Corrective scope executed and checked.,Instrument replacement,Instrument replacement performed; post-work functional check within tolerance.,TRUE,7.84,6359.61,,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,Flow Transmitter,B,TRUE,FALSE,FALSE,FALSE,FALSE,,931,1,12,FALSE,R3,3,Fault,COMPLETED_CORRECTIVE_ACTION
N0000152,,PLT-RU-RB-FWS,FV-RB-FWS-01,2023-04-29,1,Breakdown / Corrective,Recovery Boiler - Operations,,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Valves,,RB-VALVES,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.20,224.63,,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,Control Valve,A,FALSE,TRUE,TRUE,FALSE,TRUE,32,931,,,FALSE,R1,1,Fault,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000153,,PLT-FL-DIG-BLC,PT-DIG-BLC-01,2023-04-29,3,Operator Report,Digester - Operations,,Indicated value drifts from independent reference.,SIGNAL_DRIFT,SIGNAL_DRIFT,Instrumentation,,DIG-INSTRUMENTATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,1.54,299.14,,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,Pressure Transmitter,A,FALSE,TRUE,FALSE,TRUE,FALSE,,931,,,FALSE,R5,5,Defect,CLOSED_UNCONFIRMED_WITHOUT_ORDER
N0000154,WO0000084,PLT-RU-RB-AIR,DV-RB-AIR-01,2023-04-30,3,Planned Inspection,Recovery Boiler - Inspection,Planned Inspection,Mechanism travel is uneven with elevated resistance.,MECHANICAL_BINDING,MECHANICAL_BINDING,Mechanical,,RB-MECHANICAL,Closed,2023-05-05,PM02,Completed,2023-06-18,2023-06-19,2023-06-18,2023-06-19,0,WORK_COMPLETED,Corrective scope executed and checked.,Adjustment,Adjustment performed; post-work functional check within tolerance.,TRUE,7.36,2631.38,,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,Damper,A,TRUE,FALSE,FALSE,FALSE,FALSE,,930,5,50,FALSE,R5,5,Defect,COMPLETED_CORRECTIVE_ACTION
N0000155,WO0000085,PLT-RU-EVA-VAC,VAC-EVA-VAC-01,2023-04-30,1,Maintenance Sensory Route,Evaporation - Maintenance Route A,Sensory Route,Process differential pressure above normal operating range.,PROCESS_RESTRICTION,PROCESS_RESTRICTION,Condition Monitoring,Instrumentation,EVA-INSTRUMENTATION,Closed,2023-05-01,CM01,Completed,2023-05-02,2023-05-03,2023-05-02,2023-05-03,0,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,7.13,2246.46,,Recovery & Utilities,Evaporation,SYS-RU-EVA-VAC,Vacuum System,Vacuum System,B,TRUE,FALSE,FALSE,FALSE,FALSE,,930,1,3,FALSE,R3,3,Fault,COMPLETED_CORRECTIVE_ACTION
N0000156,WO0000086,PLT-RU-UTL-PWT,FT-UTL-PWT-01,2023-05-01,3,Operator Route,Utilities - Operations,Sensory Route,Measured output outside calibration tolerance.,CALIBRATION_DEVIATION,CALIBRATION_DEVIATION,Instrumentation,,UTL-INSTRUMENTATION,Closed,2023-05-02,PM02,Completed,2023-06-06,2023-06-06,2023-06-06,2023-06-06,0,WORK_COMPLETED,Corrective scope executed and checked.,Calibration,Calibration performed; post-work functional check within tolerance.,TRUE,3.98,1173.99,,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,Flow Transmitter,B,TRUE,FALSE,FALSE,FALSE,FALSE,,929,1,36,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000157,,PLT-RU-CAU-WLC,FV-CAU-WLC-01,2023-05-01,2,Planned Inspection,Causticizing - Inspection,Planned Inspection,Valve travel sticks during small command changes.,VALVE_STICTION,VALVE_STICTION,Valves,,CAU-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.01,241.42,,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,Control Valve,A,FALSE,TRUE,TRUE,FALSE,TRUE,90,929,,,FALSE,R2,2,Defect almost failure,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000158,WO0000087,PLT-FL-DRY-HYD,HPU-DRY-HYD-01,2023-05-01,2,Planned Inspection,Drying - Inspection,Planned Inspection,Hydraulic header pressure oscillates under steady demand.,HYD_PRESS_INSTABILITY,HYD_PRESS_INSTABILITY,Instrumentation,Hydraulics,DRY-HYDRAULICS,Closed,2023-05-05,PM02,Completed,2023-06-11,2023-06-13,2023-06-11,2023-06-13,2,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,1.78,314.36,,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,Hydraulic Power Unit,A,TRUE,FALSE,FALSE,FALSE,TRUE,90,929,4,43,FALSE,R2,2,Defect almost failure,MONITOR_CONDITION
N0000159,WO0000088,PLT-FL-DIG-CIR,P-DIG-CIR-01,2023-05-01,2,Planned Inspection,Digester - Inspection,Planned Inspection,Elevated vibration at pump bearing housing.,PUMP_BEARING_VIBRATION,PUMP_BEARING_VIBRATION,Mechanical,,DIG-MECHANICAL,Closed,2023-05-06,PM02,Cancelled,2023-06-23,2023-06-24,,,2,CANCELLED,Order cancelled after scope review; no execution recorded.,,,TRUE,1.08,253.57,,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Pump,A,TRUE,FALSE,FALSE,FALSE,TRUE,90,929,5,,FALSE,R2,2,Defect almost failure,CANCELLED
N0000160,WO0000089,PLT-FL-DRY-SHT,M-DRY-SHT-01,2023-05-02,3,Maintenance Sensory Route,Drying - Maintenance Route A,Sensory Route,Insulation test trending below reference.,INSULATION_DEGRADATION,INSULATION_DEGRADATION,Electrical,,DRY-ELECTRICAL,Closed,2023-05-04,PM02,Completed,2023-06-12,2023-06-14,2023-06-12,2023-06-14,0,WORK_COMPLETED,Corrective scope executed and checked.,Component replacement,Component replacement performed; post-work functional check within tolerance.,TRUE,20.44,19690.37,,Fiber Line,Drying,SYS-FL-DRY-SHT,Sheet Handling / Cutter,Motor,B,TRUE,FALSE,FALSE,FALSE,FALSE,,928,2,43,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000161,,PLT-RU-EVA-CIR,M-EVA-CIR-01,2023-05-02,3,Process Alarm,Evaporation - Control Room,Process / Control Monitoring,Motor bearing vibration above baseline.,MOTOR_BEARING_VIBRATION,MOTOR_BEARING_VIBRATION,Electrical,,EVA-ELECTRICAL,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.02,203.86,,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,Motor,B,FALSE,TRUE,TRUE,FALSE,FALSE,,928,,,FALSE,R7,7,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000162,WO0000090,PLT-RU-RB-FWS,P-RB-FWS-01,2023-05-02,2,Process Alarm,Recovery Boiler - Control Room,Process / Control Monitoring,Delivered flow below expected operating range.,LOW_FLOW,LOW_FLOW,Mechanical,,RB-MECHANICAL,Closed,2023-05-05,PM02,Completed,2023-07-05,2023-07-07,2023-07-05,2023-07-07,3,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,5.35,1577.65,,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,Pump,A,TRUE,FALSE,FALSE,FALSE,FALSE,,928,3,66,FALSE,R2,2,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000163,WO0000091,PLT-FL-DRY-LUB,M-DRY-LUB-01,2023-05-03,3,Planned Inspection,Drying - Inspection,Planned Inspection,Localized heating at electrical connection.,TERMINAL_HEATING,TERMINAL_HEATING,Electrical,,DRY-ELECTRICAL,Closed,2023-05-03,PM02,Completed,2023-06-07,2023-06-07,2023-06-07,2023-06-07,1,WORK_COMPLETED,Corrective scope executed and checked.,Tightening,Tightening performed; post-work functional check within tolerance.,TRUE,3.00,734.56,,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,Motor,C,TRUE,FALSE,FALSE,FALSE,FALSE,,927,0,35,FALSE,R9,9,Defect,COMPLETED_CORRECTIVE_ACTION
N0000164,WO0000092,PLT-RU-LIM-BRN,FT-LIM-BRN-01,2023-05-04,2,Maintenance Sensory Route,Lime Kiln - Maintenance Route A,Sensory Route,Indicated value drifts from independent reference.,SIGNAL_DRIFT,SIGNAL_DRIFT,Instrumentation,,LIM-INSTRUMENTATION,Closed,2023-05-06,PM02,Completed,2023-06-01,2023-06-03,2023-06-01,2023-06-03,1,WORK_COMPLETED,Corrective scope executed and checked.,Calibration,Calibration performed; post-work functional check within tolerance.,TRUE,3.43,1011.58,,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-BRN,Burner System,Flow Transmitter,B,TRUE,FALSE,FALSE,FALSE,FALSE,,926,2,30,FALSE,R4,4,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000165,,PLT-RU-RB-STM,PSHH-RB-STM-01,2023-05-06,2,Maintenance Sensory Route,Recovery Boiler - Maintenance Route A,Sensory Route,Measured output outside calibration tolerance.,CALIBRATION_DEVIATION,CALIBRATION_DEVIATION,Instrumentation,,RB-INSTRUMENTATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.91,172.41,,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-STM,Steam / Pressure Control,Pressure Switch,A,FALSE,TRUE,FALSE,TRUE,FALSE,,924,,,FALSE,R2,2,Defect almost failure,CLOSED_UNCONFIRMED_WITHOUT_ORDER
N0000166,WO0000093,PLT-RU-EVA-BLF,M-EVA-BLF-01,2023-05-11,2,Maintenance Sensory Route,Evaporation - Maintenance Route A,Sensory Route,Motor temperature rising at normal load.,MOTOR_OVERHEATING,MOTOR_OVERHEATING,Electrical,,EVA-ELECTRICAL,Closed,2023-05-11,PM02,Completed,2023-05-14,2023-05-14,2023-05-14,2023-05-14,0,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,7.32,2160.47,,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,Motor,B,TRUE,FALSE,FALSE,FALSE,FALSE,,919,0,3,FALSE,R4,4,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000167,WO0000094,PLT-FL-BLE-CHM,AG-BLE-CHM-01,2023-05-12,3,Process Alarm,Bleaching - Control Room,Process / Control Monitoring,Rotating assembly shows dominant once-per-revolution vibration.,IMBALANCE,IMBALANCE,Mechanical,,BLE-MECHANICAL,Closed,2023-05-14,PM02,Completed,2023-09-14,2023-09-16,2023-09-14,2023-09-16,6,WORK_COMPLETED,Corrective scope executed and checked.,Adjustment,Adjustment performed; post-work functional check within tolerance.,TRUE,14.16,7010.23,,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,Agitator,B,TRUE,FALSE,FALSE,FALSE,FALSE,,918,2,127,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000168,WO0000095,PLT-RU-CAU-SLK,FV-CAU-SLK-01,2023-05-13,3,Maintenance Sensory Route,Causticizing - Maintenance Route A,Sensory Route,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Instrumentation,,CAU-INSTRUMENTATION,Closed,2023-05-17,PM02,Cancelled,2023-07-30,2023-07-30,,,2,CANCELLED,Order cancelled after scope review; no execution recorded.,,,TRUE,1.74,350.11,,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,Control Valve,B,TRUE,FALSE,FALSE,FALSE,FALSE,,917,4,,FALSE,R7,7,Defect,CANCELLED
N0000169,WO0000096,PLT-FL-WSH-KNR,SCR-WSH-KNR-01,2023-05-13,2,Maintenance Sensory Route,Washing & Screening - Maintenance Route A,Sensory Route,Mechanism travel is uneven with elevated resistance.,MECHANICAL_BINDING,MECHANICAL_BINDING,Mechanical,,WSH-MECHANICAL,Closed,2023-05-17,PM02,Completed,2023-07-19,2023-07-19,2023-07-19,2023-07-19,3,WORK_COMPLETED,Corrective scope executed and checked.,Adjustment,Adjustment performed; post-work functional check within tolerance.,TRUE,6.13,2193.23,,Fiber Line,Washing & Screening,SYS-FL-WSH-KNR,Knot Removal,Separator,B,TRUE,FALSE,FALSE,FALSE,FALSE,,917,4,67,FALSE,R4,4,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000170,WO0000097,PLT-FL-DRY-PMF,M-DRY-PMF-01,2023-05-14,3,Maintenance Sensory Route,Drying - Maintenance Route A,Sensory Route,Oil sample shows elevated contamination.,OIL_CONTAMINATION,OIL_CONTAMINATION,Lubrication,,DRY-LUBRICATION,Closed,2023-05-19,PM02,Completed,2023-08-07,2023-08-08,2023-08-07,2023-08-08,3,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,4.26,2181.82,,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,Motor,A,TRUE,FALSE,FALSE,FALSE,FALSE,,916,5,86,FALSE,R5,5,Defect,COMPLETED_CORRECTIVE_ACTION
N0000171,WO0000098,PLT-FL-BLE-CHM,P-BLE-CHM-01,2023-05-14,2,Maintenance Sensory Route,Bleaching - Maintenance Route A,Sensory Route,Leakage at shaft seal.,SEAL_LEAKAGE,SEAL_LEAKAGE,Mechanical,,BLE-MECHANICAL,Closed,2023-05-17,PM02,Completed,2023-05-28,2023-05-29,2023-05-28,2023-05-29,0,WORK_COMPLETED,Corrective scope executed and checked.,Seal replacement,Seal replacement performed; post-work functional check within tolerance.,TRUE,11.29,8408.18,,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,Pump,B,TRUE,FALSE,FALSE,FALSE,FALSE,,916,3,15,FALSE,R4,4,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000172,WO0000099,PLT-FL-DRY-LUB,P-DRY-LUB-01,2023-05-14,2,Condition Monitoring,Drying - Condition Monitoring,Predictive Route,Lubrication supply pressure below normal range.,LOW_LUBE_PRESSURE,LOW_LUBE_PRESSURE,Mechanical,,DRY-MECHANICAL,Closed,2023-05-15,PM02,Completed,2023-06-04,2023-06-06,2023-06-04,2023-06-06,1,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,4.97,1631.49,,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,Lubrication Pump,B,TRUE,FALSE,FALSE,FALSE,FALSE,,916,1,23,FALSE,R4,4,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000173,WO0000100,PLT-RU-RB-AIR,FT-RB-AIR-01,2023-05-15,2,Maintenance Sensory Route,Recovery Boiler - Maintenance Route A,Sensory Route,Control sequence response differs from approved logic.,CONTROL_SEQUENCE_DEVIATION,CONTROL_SEQUENCE_DEVIATION,Automation,Instrumentation,RB-INSTRUMENTATION,Closed,2023-05-17,PM02,Completed,2023-06-02,2023-06-03,2023-06-02,2023-06-03,0,WORK_COMPLETED,Corrective scope executed and checked.,Control logic correction,Control logic correction performed; post-work functional check within tolerance.,TRUE,9.82,2898.09,,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,Flow Transmitter,B,TRUE,FALSE,FALSE,FALSE,FALSE,,915,2,19,FALSE,R4,4,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000174,WO0000101,PLT-RU-UTL-PWT,M-UTL-PWT-01,2023-05-15,3,Planned Inspection,Utilities - Inspection,Planned Inspection,Insulation test trending below reference.,INSULATION_DEGRADATION,INSULATION_DEGRADATION,Electrical,,UTL-ELECTRICAL,Closed,2023-05-15,PM02,Completed,2023-06-10,2023-06-12,2023-06-10,2023-06-12,0,WORK_COMPLETED,Corrective scope executed and checked.,Component replacement,Component replacement performed; post-work functional check within tolerance.,TRUE,31.27,30119.85,,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,Motor,B,TRUE,FALSE,FALSE,FALSE,FALSE,,915,0,28,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000175,,PLT-FL-BLE-TWR,PV-BLE-TWR-01,2023-05-15,2,Maintenance Sensory Route,Bleaching - Maintenance Route A,Sensory Route,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Valves,,BLE-VALVES,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.51,287.23,,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,Control Valve,B,FALSE,TRUE,TRUE,FALSE,FALSE,,915,,,FALSE,R4,4,Defect almost failure,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000176,WO0000102,PLT-RU-EVA-CIR,PV-EVA-CIR-01,2023-05-15,3,Operator Route,Evaporation - Operations,Sensory Route,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Instrumentation,,EVA-INSTRUMENTATION,Closed,2023-05-18,PM02,Completed,2023-06-22,2023-06-22,2023-06-22,2023-06-22,1,WORK_COMPLETED,Corrective scope executed and checked.,Seal replacement,Seal replacement performed; post-work functional check within tolerance.,TRUE,8.06,4260.30,,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,Control Valve,B,TRUE,FALSE,FALSE,FALSE,FALSE,,915,3,38,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000177,WO0000103,PLT-FL-DIG-CHP,M-DIG-CHP-01,2023-05-17,2,Operator Route,Digester - Operations,Sensory Route,Localized heating at electrical connection.,TERMINAL_HEATING,TERMINAL_HEATING,Electrical,,DIG-ELECTRICAL,Closed,2023-05-18,PM02,Completed,2023-06-29,2023-07-01,2023-06-29,2023-07-01,3,WORK_COMPLETED,Corrective scope executed and checked.,Tightening,Tightening performed; post-work functional check within tolerance.,TRUE,2.96,724.97,,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,Motor,A,TRUE,FALSE,FALSE,FALSE,FALSE,,913,1,45,FALSE,R2,2,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000178,WO0000104,PLT-RU-CAU-LMH,LT-CAU-LMH-01,2023-05-19,3,Maintenance Sensory Route,Causticizing - Maintenance Route A,Sensory Route,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Automation,,CAU-AUTOMATION,Closed,2023-05-21,PM02,Completed,2023-09-20,2023-09-22,2023-09-20,2023-09-22,6,WORK_COMPLETED,Corrective scope executed and checked.,Instrument replacement,Instrument replacement performed; post-work functional check within tolerance.,TRUE,7.39,6000.21,,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,Level Transmitter,C,TRUE,FALSE,FALSE,FALSE,FALSE,,911,2,126,FALSE,R9,9,Defect,COMPLETED_CORRECTIVE_ACTION
N0000179,WO0000105,PLT-RU-EVA-CIR,M-EVA-CIR-01,2023-05-20,2,Condition Monitoring,Evaporation - Condition Monitoring,Predictive Route,Insulation test trending below reference.,INSULATION_DEGRADATION,INSULATION_DEGRADATION,Electrical,,EVA-ELECTRICAL,Closed,2023-05-25,PM02,Completed,2023-06-23,2023-06-25,2023-06-23,2023-06-25,2,WORK_COMPLETED,Corrective scope executed and checked.,Component replacement,Component replacement performed; post-work functional check within tolerance.,TRUE,21.59,20796.20,,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,Motor,B,TRUE,FALSE,FALSE,FALSE,FALSE,,910,5,36,FALSE,R4,4,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000180,,PLT-FL-DRY-HYD,PT-DRY-HYD-01,2023-05-20,3,Maintenance Sensory Route,Drying - Maintenance Route A,Sensory Route,Measured output outside calibration tolerance.,CALIBRATION_DEVIATION,CALIBRATION_DEVIATION,Instrumentation,,DRY-INSTRUMENTATION,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.80,302.77,,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,Pressure Transmitter,B,FALSE,TRUE,TRUE,FALSE,FALSE,,910,,,FALSE,R7,7,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000181,WO0000106,PLT-RU-EVA-BLF,P-EVA-BLF-01,2023-05-21,3,Condition Monitoring,Evaporation - Condition Monitoring,Predictive Route,Crackling noise and unstable suction pressure.,CAVITATION,CAVITATION,Mechanical,,EVA-MECHANICAL,Closed,2023-05-23,PM02,Completed,2023-06-23,2023-06-24,2023-06-23,2023-06-24,1,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,4.50,1192.08,,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,Pump,B,TRUE,FALSE,FALSE,FALSE,FALSE,,909,2,34,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
