bad_actor_rank,asset_id,functional_location,island,area,system_id,system_name,asset_type,asset_criticality,production_loss_event_count,total_production_loss_adt,average_loss_adt,maximum_loss_adt,maintenance_notification_count,confirmed_defect_count,recurrent_notification_count,active_backlog_count,highest_active_risk_class,highest_active_risk_sort_order,known_untreated_loss_event_count,known_untreated_loss_adt,post_maintenance_recurrence_event_count,post_maintenance_recurrence_loss_adt
122,FV-UTL-CWT-01,PLT-RU-UTL-CWT,Recovery & Utilities,Utilities,SYS-RU-UTL-CWT,Cooling Water,Control Valve,B,0,0.00,0.00,0.00,4,3,0,0,,,0,0.00,0,0.00
123,FV-UTL-PWT-01,PLT-RU-UTL-PWT,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,Control Valve,B,0,0.00,0.00,0.00,5,4,1,0,,,0,0.00,0,0.00
124,FV-WSH-BSW-01,PLT-FL-WSH-BSW,Fiber Line,Washing & Screening,SYS-FL-WSH-BSW,Brownstock Washing,Control Valve,B,0,0.00,0.00,0.00,5,2,0,0,,,0,0.00,0,0.00
125,FV-WSH-FIL-01,PLT-FL-WSH-FIL,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,Control Valve,C,0,0.00,0.00,0.00,12,9,1,0,,,0,0.00,0,0.00
126,HY-DRY-PRS-01,PLT-FL-DRY-PRS,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,Hydraulic Actuator,A,0,0.00,0.00,0.00,10,7,3,1,R5,5,0,0.00,0,0.00
127,LT-BLE-TWR-01,PLT-FL-BLE-TWR,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,Level Transmitter,B,0,0.00,0.00,0.00,8,5,2,0,,,0,0.00,0,0.00
128,LT-CAU-REA-01,PLT-RU-CAU-REA,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,Level Transmitter,B,0,0.00,0.00,0.00,5,4,0,0,,,0,0.00,0,0.00
129,LT-RB-SMT-01,PLT-RU-RB-SMT,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SMT,Smelt Handling,Level Transmitter,B,0,0.00,0.00,0.00,6,6,0,0,,,0,0.00,0,0.00
130,LT-WSH-FIL-01,PLT-FL-WSH-FIL,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,Level Transmitter,C,0,0.00,0.00,0.00,11,6,5,1,R9,9,0,0.00,0,0.00
131,LU-DRY-LUB-01,PLT-FL-DRY-LUB,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,Lubrication Unit,A,0,0.00,0.00,0.00,6,4,2,0,,,0,0.00,0,0.00
132,M-BLE-TWR-01,PLT-FL-BLE-TWR,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,Motor,B,0,0.00,0.00,0.00,6,6,0,0,,,0,0.00,0,0.00
133,M-CAU-GLC-01,PLT-RU-CAU-GLC,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLC,Green Liquor Clarification,Motor,B,0,0.00,0.00,0.00,6,5,0,0,,,0,0.00,0,0.00
134,M-CAU-GLH-01,PLT-RU-CAU-GLH,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLH,Green Liquor Handling,Motor,B,0,0.00,0.00,0.00,6,6,0,0,,,0,0.00,0,0.00
135,M-CAU-SLK-01,PLT-RU-CAU-SLK,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,Motor,A,0,0.00,0.00,0.00,8,7,0,0,,,0,0.00,0,0.00
136,M-DRY-DRS-01,PLT-FL-DRY-DRS,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,Motor,A,0,0.00,0.00,0.00,7,5,0,1,R1,1,0,0.00,0,0.00
137,M-DRY-HYD-01,PLT-FL-DRY-HYD,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,Motor,B,0,0.00,0.00,0.00,3,3,0,1,R7,7,0,0.00,0,0.00
138,M-DRY-PMF-01,PLT-FL-DRY-PMF,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,Motor,A,0,0.00,0.00,0.00,3,3,0,0,,,0,0.00,0,0.00
139,M-DRY-SHT-01,PLT-FL-DRY-SHT,Fiber Line,Drying,SYS-FL-DRY-SHT,Sheet Handling / Cutter,Motor,B,0,0.00,0.00,0.00,6,5,0,0,,,0,0.00,0,0.00
140,M-EVA-BLF-01,PLT-RU-EVA-BLF,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,Motor,B,0,0.00,0.00,0.00,5,5,0,0,,,0,0.00,0,0.00
141,M-EVA-VAC-01,PLT-RU-EVA-VAC,Recovery & Utilities,Evaporation,SYS-RU-EVA-VAC,Vacuum System,Motor,B,0,0.00,0.00,0.00,6,6,1,0,,,0,0.00,0,0.00
142,M-UTL-AIR-01,PLT-RU-UTL-AIR,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,Motor,A,0,0.00,0.00,0.00,12,12,0,1,R5,5,0,0.00,0,0.00
143,M-UTL-BFW-01,PLT-RU-UTL-BFW,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,Motor,A,0,0.00,0.00,0.00,8,6,0,0,,,0,0.00,0,0.00
144,M-UTL-CWT-01,PLT-RU-UTL-CWT,Recovery & Utilities,Utilities,SYS-RU-UTL-CWT,Cooling Water,Motor,A,0,0.00,0.00,0.00,9,7,1,0,,,0,0.00,0,0.00
145,M-WSH-BSW-01,PLT-FL-WSH-BSW,Fiber Line,Washing & Screening,SYS-FL-WSH-BSW,Brownstock Washing,Motor,B,0,0.00,0.00,0.00,9,6,0,0,,,0,0.00,0,0.00
146,M-WSH-FIL-01,PLT-FL-WSH-FIL,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,Motor,B,0,0.00,0.00,0.00,8,5,1,0,,,0,0.00,0,0.00
147,M-WSH-SCR-01,PLT-FL-WSH-SCR,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,Motor,B,0,0.00,0.00,0.00,8,4,1,1,R7,7,0,0.00,0,0.00
148,P-BLE-CHM-01,PLT-FL-BLE-CHM,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,Pump,B,0,0.00,0.00,0.00,9,8,2,0,,,0,0.00,0,0.00
149,P-BLE-STW-01,PLT-FL-BLE-STW,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,Pump,B,0,0.00,0.00,0.00,7,7,2,0,,,0,0.00,0,0.00
150,P-CAU-GLC-01,PLT-RU-CAU-GLC,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLC,Green Liquor Clarification,Pump,B,0,0.00,0.00,0.00,7,7,0,0,,,0,0.00,0,0.00
151,P-CAU-GLH-01,PLT-RU-CAU-GLH,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLH,Green Liquor Handling,Pump,B,0,0.00,0.00,0.00,5,5,0,0,,,0,0.00,0,0.00
152,P-DIG-IMP-01,PLT-FL-DIG-IMP,Fiber Line,Digester,SYS-FL-DIG-IMP,Impregnation,Pump,A,0,0.00,0.00,0.00,7,6,1,0,,,0,0.00,0,0.00
153,P-DRY-FOR-01,PLT-FL-DRY-FOR,Fiber Line,Drying,SYS-FL-DRY-FOR,Forming Section,Pump,B,0,0.00,0.00,0.00,7,4,0,0,,,0,0.00,0,0.00
154,P-LIM-LMF-01,PLT-RU-LIM-LMF,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,Pump,B,0,0.00,0.00,0.00,4,4,0,0,,,0,0.00,0,0.00
155,P-RB-FWS-01,PLT-RU-RB-FWS,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,Pump,A,0,0.00,0.00,0.00,8,8,0,0,,,0,0.00,0,0.00
156,P-RB-SMT-01,PLT-RU-RB-SMT,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SMT,Smelt Handling,Pump,B,0,0.00,0.00,0.00,8,8,1,0,,,0,0.00,0,0.00
157,P-UTL-CWT-01,PLT-RU-UTL-CWT,Recovery & Utilities,Utilities,SYS-RU-UTL-CWT,Cooling Water,Pump,A,0,0.00,0.00,0.00,5,5,0,0,,,0,0.00,0,0.00
158,P-WSH-FIL-01,PLT-FL-WSH-FIL,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,Pump,B,0,0.00,0.00,0.00,8,1,0,0,,,0,0.00,0,0.00
159,P-WSH-SCR-01,PLT-FL-WSH-SCR,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,Pump,B,0,0.00,0.00,0.00,10,6,0,1,R7,7,0,0.00,0,0.00
160,PT-DIG-CIR-01,PLT-FL-DIG-CIR,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Pressure Transmitter,B,0,0.00,0.00,0.00,5,4,0,0,,,0,0.00,0,0.00
161,PT-DRY-FOR-01,PLT-FL-DRY-FOR,Fiber Line,Drying,SYS-FL-DRY-FOR,Forming Section,Pressure Transmitter,C,0,0.00,0.00,0.00,8,7,2,0,,,0,0.00,0,0.00
162,PT-EVA-CIR-01,PLT-RU-EVA-CIR,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,Pressure Transmitter,C,0,0.00,0.00,0.00,6,4,0,0,,,0,0.00,0,0.00
163,PT-RB-FWS-01,PLT-RU-RB-FWS,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,Pressure Transmitter,A,0,0.00,0.00,0.00,3,3,0,0,,,0,0.00,0,0.00
164,PT-UTL-CWT-01,PLT-RU-UTL-CWT,Recovery & Utilities,Utilities,SYS-RU-UTL-CWT,Cooling Water,Pressure Transmitter,B,0,0.00,0.00,0.00,4,4,0,0,,,0,0.00,0,0.00
165,PV-RB-STM-01,PLT-RU-RB-STM,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-STM,Steam / Pressure Control,Control Valve,A,0,0.00,0.00,0.00,12,10,2,0,,,0,0.00,0,0.00
166,PV-UTL-STM-01,PLT-RU-UTL-STM,Recovery & Utilities,Utilities,SYS-RU-UTL-STM,Steam Distribution,Control Valve,A,0,0.00,0.00,0.00,11,8,2,1,R5,5,0,0.00,0,0.00
167,REL-UTL-ELD-01,PLT-RU-UTL-ELD,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,Protection Relay,A,0,0.00,0.00,0.00,6,5,0,0,,,0,0.00,0,0.00
168,ROLL-DRY-PRS-01,PLT-FL-DRY-PRS,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,Press Roll,A,0,0.00,0.00,0.00,7,6,0,0,,,0,0.00,0,0.00
169,SCR-WSH-KNR-01,PLT-FL-WSH-KNR,Fiber Line,Washing & Screening,SYS-FL-WSH-KNR,Knot Removal,Separator,B,0,0.00,0.00,0.00,9,6,1,0,,,0,0.00,0,0.00
170,TT-CAU-SLK-01,PLT-RU-CAU-SLK,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,Temperature Transmitter,B,0,0.00,0.00,0.00,6,5,0,0,,,0,0.00,0,0.00
171,TT-DIG-CIR-01,PLT-FL-DIG-CIR,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Temperature Transmitter,B,0,0.00,0.00,0.00,8,8,1,0,,,0,0.00,0,0.00
172,XV-DIG-BLC-01,PLT-FL-DIG-BLC,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,On/Off Valve,A,0,0.00,0.00,0.00,6,6,0,0,,,0,0.00,0,0.00
173,XV-DIG-DIS-01,PLT-FL-DIG-DIS,Fiber Line,Digester,SYS-FL-DIG-DIS,Digester Discharge,On/Off Valve,A,0,0.00,0.00,0.00,6,6,3,0,,,0,0.00,0,0.00
174,XV-RB-SBL-01,PLT-RU-RB-SBL,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SBL,Sootblowing,On/Off Valve,B,0,0.00,0.00,0.00,5,4,1,0,,,0,0.00,0,0.00
175,XV-WSH-KNR-01,PLT-FL-WSH-KNR,Fiber Line,Washing & Screening,SYS-FL-WSH-KNR,Knot Removal,On/Off Valve,C,0,0.00,0.00,0.00,9,5,2,0,,,0,0.00,0,0.00
176,ZS-RB-SBL-01,PLT-RU-RB-SBL,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SBL,Sootblowing,Position Switch,C,0,0.00,0.00,0.00,5,4,0,0,,,0,0.00,0,0.00
