notification_id,work_order_id,functional_location,asset_id,notification_date,notification_priority,notification_source,detected_by_team,inspection_route_type,symptom,failure_mode,repeat_failure_code,responsible_discipline,reassigned_discipline,planner_group,notification_status,order_created_date,order_type,order_status,planned_start_date,planned_finish_date,actual_start_date,actual_end_date,replanning_count,closure_code,closure_text,action_type,action_text,defect_confirmed,labor_hours,maintenance_cost,linked_loss_event_id
N0000183,,PLT-RU-CAU-SLK,TT-CAU-SLK-01,2023-05-22,1,Maintenance Sensory Route,Causticizing - Maintenance Route A,Sensory Route,Measured output outside calibration tolerance.,CALIBRATION_DEVIATION,CALIBRATION_DEVIATION,Instrumentation,,CAU-INSTRUMENTATION,Closed,,,,,,,,,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.63,152.34,
N0000184,WO0000107,PLT-RU-CAU-GLH,M-CAU-GLH-01,2023-05-24,3,Process Alarm,Causticizing - Control Room,Process / Control Monitoring,Motor bearing vibration above baseline.,MOTOR_BEARING_VIBRATION,MOTOR_BEARING_VIBRATION,Electrical,,CAU-ELECTRICAL,Closed,2023-05-27,PM02,Completed,2023-07-08,2023-07-08,2023-07-08,2023-07-08,1,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,19.96,12872.35,
N0000185,WO0000108,PLT-FL-BLE-CHM,AG-BLE-CHM-01,2023-05-25,3,Maintenance Sensory Route,Bleaching - Maintenance Route A,Sensory Route,Bearing temperature trending above baseline.,BEARING_TEMPERATURE,BEARING_TEMPERATURE,Mechanical,,BLE-MECHANICAL,Closed,2023-05-27,PM02,Completed,2023-07-05,2023-07-06,2023-07-05,2023-07-06,1,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,13.10,9383.68,
N0000186,WO0000109,PLT-RU-UTL-PWT,P-UTL-PWT-01,2023-05-25,3,Planned Inspection,Utilities - Inspection,Planned Inspection,Bearing temperature trending above baseline.,BEARING_TEMPERATURE,BEARING_TEMPERATURE,Mechanical,,UTL-MECHANICAL,Closed,2023-05-26,PM02,Completed,2023-06-13,2023-06-14,2023-06-13,2023-06-14,0,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,18.52,13268.67,
N0000187,WO0000110,PLT-RU-RB-BLF,M-RB-BLF-01,2023-05-27,1,Condition Monitoring,Recovery Boiler - Condition Monitoring,Predictive Route,Motor temperature rising at normal load.,MOTOR_OVERHEATING,MOTOR_OVERHEATING,Electrical,,RB-ELECTRICAL,Closed,2023-05-31,CM01,Completed,2023-05-31,2023-05-31,2023-05-31,2023-05-31,0,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,0.42,149.58,
N0000188,,PLT-FL-DIG-BLC,PV-DIG-BLC-01,2023-05-27,2,Maintenance Sensory Route,Digester - Maintenance Route A,Sensory Route,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Instrumentation,,DIG-INSTRUMENTATION,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.35,232.96,
N0000189,WO0000111,PLT-RU-UTL-AIR,M-UTL-AIR-01,2023-05-29,2,Planned Inspection,Utilities - Inspection,Planned Inspection,Motor temperature rising at normal load.,MOTOR_OVERHEATING,MOTOR_OVERHEATING,Electrical,,UTL-ELECTRICAL,Closed,2023-05-31,PM02,Completed,2023-06-15,2023-06-15,2023-06-15,2023-06-15,0,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,8.63,2546.96,
N0000190,,PLT-RU-UTL-STM,TT-UTL-STM-01,2023-05-29,3,Maintenance Sensory Route,Utilities - Maintenance Route A,Sensory Route,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Instrumentation,,UTL-INSTRUMENTATION,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.52,254.36,
N0000191,WO0000112,PLT-RU-CAU-LMH,FV-CAU-LMH-01,2023-06-03,3,Operator Report,Causticizing - Operations,,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Instrumentation,,CAU-INSTRUMENTATION,Closed,2023-06-05,PM02,Completed,2023-06-22,2023-06-23,2023-06-22,2023-06-23,0,WORK_COMPLETED,Corrective scope executed and checked.,Seal replacement,Seal replacement performed; post-work functional check within tolerance.,TRUE,4.25,2247.78,
N0000192,,PLT-RU-EVA-BLF,FV-EVA-BLF-01,2023-06-04,3,Maintenance Sensory Route,Evaporation - Maintenance Route A,Sensory Route,Valve feedback differs from demanded position.,POSITIONER_DEVIATION,POSITIONER_DEVIATION,Valves,,EVA-VALVES,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.62,292.39,
N0000193,,PLT-FL-WSH-SCR,SCR-WSH-SCR-01,2023-06-04,3,Maintenance Sensory Route,Washing & Screening - Maintenance Route A,Sensory Route,Process differential pressure above normal operating range.,PROCESS_RESTRICTION,PROCESS_RESTRICTION,Mechanical,,WSH-MECHANICAL,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.25,226.44,
N0000194,,PLT-FL-WSH-FIL,FV-WSH-FIL-01,2023-06-05,2,Maintenance Sensory Route,Washing & Screening - Maintenance Route A,Sensory Route,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Valves,,WSH-VALVES,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.91,322.31,
N0000195,,PLT-FL-BLE-TWR,PV-BLE-TWR-01,2023-06-06,2,Planned Inspection,Bleaching - Inspection,Planned Inspection,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Valves,,BLE-VALVES,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.42,245.38,
N0000196,WO0000113,PLT-RU-UTL-AIR,M-UTL-AIR-01,2023-06-07,1,Maintenance Sensory Route,Utilities - Maintenance Route A,Sensory Route,Insulation test trending below reference.,INSULATION_DEGRADATION,INSULATION_DEGRADATION,Condition Monitoring,,UTL-CONDITION_MONITORING,Closed,2023-06-10,CM01,Completed,2023-06-11,2023-06-11,2023-06-11,2023-06-11,0,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,0.51,124.59,
N0000197,,PLT-FL-BLE-CHM,P-BLE-CHM-01,2023-06-08,3,Process Alarm,Bleaching - Control Room,Process / Control Monitoring,Delivered flow below expected operating range.,LOW_FLOW,LOW_FLOW,Mechanical,,BLE-MECHANICAL,Closed,,,,,,,,,OPERATING_CONDITION,Observed response is within the current operating envelope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,1.57,325.67,
N0000198,,PLT-RU-CAU-GLH,FV-CAU-GLH-01,2023-06-09,3,Process Alarm,Causticizing - Control Room,Process / Control Monitoring,Valve feedback differs from demanded position.,POSITIONER_DEVIATION,POSITIONER_DEVIATION,Valves,,CAU-VALVES,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.73,284.07,
N0000199,WO0000114,PLT-RU-EVA-BLF,P-EVA-BLF-01,2023-06-09,2,Operator Report,Evaporation - Operations,,Elevated vibration at pump bearing housing.,PUMP_BEARING_VIBRATION,PUMP_BEARING_VIBRATION,Mechanical,,EVA-MECHANICAL,Closed,2023-06-11,PM02,Completed,2023-06-26,2023-06-27,2023-06-26,2023-06-27,0,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,20.81,14724.42,
N0000200,WO0000115,PLT-FL-DIG-IMP,P-DIG-IMP-01,2023-06-11,3,Planned Inspection,Digester - Inspection,Planned Inspection,Oil condition test indicates degraded lubricant.,OIL_DEGRADATION,OIL_DEGRADATION,Lubrication,,DIG-LUBRICATION,Closed,2023-06-14,PM02,Completed,2023-07-28,2023-07-29,2023-07-28,2023-07-29,2,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,7.09,3984.00,
N0000201,,PLT-FL-DRY-PRS,PT-DRY-PRS-01,2023-06-14,3,Operator Report,Drying - Operations,,Indicated value drifts from independent reference.,SIGNAL_DRIFT,SIGNAL_DRIFT,Instrumentation,,DRY-INSTRUMENTATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.43,252.02,
N0000202,WO0000116,PLT-FL-BLE-TWR,AG-BLE-TWR-01,2023-06-15,1,Condition Monitoring,Bleaching - Condition Monitoring,Predictive Route,Oil sample shows elevated contamination.,OIL_CONTAMINATION,OIL_CONTAMINATION,Lubrication,,BLE-LUBRICATION,Closed,2023-06-16,CM01,Completed,2023-06-19,2023-06-19,2023-06-19,2023-06-19,0,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,7.19,3676.76,
N0000203,WO0000117,PLT-FL-DIG-IMP,P-DIG-IMP-01,2023-06-15,3,Operator Report,Digester - Operations,,Delivered flow below expected operating range.,LOW_FLOW,LOW_FLOW,Mechanical,,DIG-MECHANICAL,Closed,2023-06-18,PM02,Completed,2023-07-25,2023-07-27,2023-07-25,2023-07-27,0,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,7.73,2280.50,
N0000204,WO0000118,PLT-FL-DIG-IMP,M-DIG-IMP-01,2023-06-16,2,Process Alarm,Digester - Control Room,Process / Control Monitoring,Motor bearing vibration above baseline.,MOTOR_BEARING_VIBRATION,MOTOR_BEARING_VIBRATION,Electrical,,DIG-ELECTRICAL,Closed,2023-06-19,PM02,Completed,2023-07-04,2023-07-06,2023-07-04,2023-07-06,0,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,14.75,9513.11,
N0000205,,PLT-RU-CAU-REA,FV-CAU-REA-01,2023-06-19,3,Planned Inspection,Causticizing - Inspection,Planned Inspection,Actuator supply pressure decays while held.,ACTUATOR_LEAKAGE,ACTUATOR_LEAKAGE,Valves,,CAU-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.36,284.00,
N0000206,WO0000119,PLT-RU-RB-FWS,FV-RB-FWS-01,2023-06-20,2,Operator Route,Recovery Boiler - Operations,Sensory Route,Valve travel sticks during small command changes.,VALVE_STICTION,VALVE_STICTION,Valves,,RB-VALVES,Closed,2023-06-23,PM02,Completed,2023-07-07,2023-07-07,2023-07-07,2023-07-07,0,WORK_COMPLETED,Corrective scope executed and checked.,Valve overhaul,Valve overhaul performed; post-work functional check within tolerance.,TRUE,15.21,12345.16,
N0000207,,PLT-FL-BLE-CHM,FT-BLE-CHM-01,2023-06-21,2,Planned Inspection,Bleaching - Inspection,Planned Inspection,Indicated value drifts from independent reference.,SIGNAL_DRIFT,SIGNAL_DRIFT,Instrumentation,Automation,BLE-AUTOMATION,Closed,,,,,,,,,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.90,193.33,
N0000208,,PLT-FL-DIG-CHP,XV-DIG-CHP-01,2023-06-21,3,Operator Route,Digester - Operations,Sensory Route,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Valves,,DIG-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.85,363.86,
N0000209,WO0000120,PLT-RU-UTL-AIR,CMP-UTL-AIR-01,2023-06-22,3,Maintenance Sensory Route,Utilities - Maintenance Route A,Sensory Route,Bearing temperature trending above baseline.,BEARING_TEMPERATURE,BEARING_TEMPERATURE,Mechanical,,UTL-MECHANICAL,Closed,2023-06-23,PM02,Completed,2023-07-25,2023-07-27,2023-07-25,2023-07-27,1,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,19.89,14250.85,
N0000210,,PLT-FL-DRY-FOR,M-DRY-FOR-01,2023-06-23,3,Condition Monitoring,Drying - Condition Monitoring,Predictive Route,Insulation test trending below reference.,INSULATION_DEGRADATION,INSULATION_DEGRADATION,Condition Monitoring,Electrical,DRY-ELECTRICAL,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.69,136.04,
N0000211,,PLT-RU-UTL-BFW,M-UTL-BFW-01,2023-06-24,3,Process Alarm,Utilities - Control Room,Process / Control Monitoring,Oil condition test indicates degraded lubricant.,OIL_DEGRADATION,OIL_DEGRADATION,Lubrication,,UTL-LUBRICATION,Closed,,,,,,,,,OPERATING_CONDITION,Observed response is within the current operating envelope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,0.38,109.60,
N0000212,WO0000121,PLT-RU-RB-SBL,ZS-RB-SBL-01,2023-06-26,3,Maintenance Sensory Route,Recovery Boiler - Maintenance Route A,Sensory Route,Indicated value drifts from independent reference.,SIGNAL_DRIFT,SIGNAL_DRIFT,Instrumentation,,RB-INSTRUMENTATION,Closed,2023-06-30,PM02,Completed,2023-07-30,2023-07-30,2023-07-30,2023-07-30,0,WORK_COMPLETED,Corrective scope executed and checked.,Calibration,Calibration performed; post-work functional check within tolerance.,TRUE,5.67,1671.80,
N0000213,WO0000122,PLT-RU-CAU-SLK,SLK-CAU-SLK-01,2023-06-27,3,Condition Monitoring,Causticizing - Condition Monitoring,Predictive Route,Mechanism travel is uneven with elevated resistance.,MECHANICAL_BINDING,MECHANICAL_BINDING,Mechanical,,CAU-MECHANICAL,Closed,2023-06-27,PM02,Completed,2023-08-25,2023-08-27,2023-08-25,2023-08-27,2,WORK_COMPLETED,Corrective scope executed and checked.,Adjustment,Adjustment performed; post-work functional check within tolerance.,TRUE,6.50,2322.82,
N0000214,,PLT-FL-BLE-CHM,M-BLE-CHM-01,2023-06-28,3,Maintenance Sensory Route,Bleaching - Maintenance Route A,Sensory Route,Motor temperature rising at normal load.,MOTOR_OVERHEATING,MOTOR_OVERHEATING,Condition Monitoring,,BLE-CONDITION_MONITORING,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.33,100.80,
N0000215,WO0000123,PLT-FL-BLE-STW,P-BLE-STW-01,2023-06-28,3,Maintenance Sensory Route,Bleaching - Maintenance Route A,Sensory Route,Elevated vibration at pump bearing housing.,PUMP_BEARING_VIBRATION,PUMP_BEARING_VIBRATION,Condition Monitoring,,BLE-CONDITION_MONITORING,Closed,2023-06-28,PM02,Completed,2023-07-30,2023-08-01,2023-07-30,2023-08-01,0,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,19.92,14095.46,
N0000216,WO0000124,PLT-RU-UTL-CWT,FV-UTL-CWT-01,2023-06-29,3,Maintenance Sensory Route,Utilities - Maintenance Route A,Sensory Route,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Instrumentation,,UTL-INSTRUMENTATION,Closed,2023-06-30,PM02,Completed,2023-08-18,2023-08-19,2023-08-18,2023-08-19,3,WORK_COMPLETED,Corrective scope executed and checked.,Seal replacement,Seal replacement performed; post-work functional check within tolerance.,TRUE,7.94,4194.76,
N0000217,WO0000125,PLT-RU-CAU-REA,FV-CAU-REA-01,2023-07-03,3,Maintenance Sensory Route,Causticizing - Maintenance Route A,Sensory Route,Valve travel sticks during small command changes.,VALVE_STICTION,VALVE_STICTION,Instrumentation,,CAU-INSTRUMENTATION,Closed,2023-07-06,PM02,Completed,2023-08-20,2023-08-21,2023-08-20,2023-08-21,0,WORK_COMPLETED,Corrective scope executed and checked.,Valve overhaul,Valve overhaul performed; post-work functional check within tolerance.,TRUE,24.88,20197.14,
N0000218,,PLT-FL-BLE-TWR,LT-BLE-TWR-01,2023-07-03,3,Operator Report,Bleaching - Operations,,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Instrumentation,,BLE-INSTRUMENTATION,Closed,,,,,,,,,OPERATING_CONDITION,Observed response is within the current operating envelope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,1.66,331.58,
N0000219,WO0000126,PLT-FL-BLE-STW,P-BLE-STW-01,2023-07-03,3,Operator Route,Bleaching - Operations,Sensory Route,Crackling noise and unstable suction pressure.,CAVITATION,CAVITATION,Condition Monitoring,,BLE-CONDITION_MONITORING,Closed,2023-07-08,PM02,Completed,2023-08-04,2023-08-05,2023-08-04,2023-08-05,0,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,5.35,1418.47,
N0000220,WO0000127,PLT-FL-WSH-BSW,DRV-WSH-BSW-01,2023-07-04,2,Maintenance Sensory Route,Washing & Screening - Maintenance Route A,Sensory Route,Rotating assembly shows dominant once-per-revolution vibration.,IMBALANCE,IMBALANCE,Mechanical,,WSH-MECHANICAL,Closed,2023-07-06,PM02,Completed,2023-08-29,2023-08-31,2023-08-29,2023-08-31,4,WORK_COMPLETED,Corrective scope executed and checked.,Adjustment,Adjustment performed; post-work functional check within tolerance.,TRUE,12.10,5988.47,
N0000221,,PLT-RU-RB-BLF,P-RB-BLF-01,2023-07-04,3,Operator Route,Recovery Boiler - Operations,Sensory Route,Elevated vibration at pump bearing housing.,PUMP_BEARING_VIBRATION,PUMP_BEARING_VIBRATION,Mechanical,,RB-MECHANICAL,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.17,236.05,
N0000222,WO0000128,PLT-FL-DRY-PMF,FT-DRY-PMF-01,2023-07-05,3,Operator Route,Drying - Operations,Sensory Route,Measured output outside calibration tolerance.,CALIBRATION_DEVIATION,CALIBRATION_DEVIATION,Instrumentation,,DRY-INSTRUMENTATION,Closed,2023-07-06,PM02,Completed,2023-08-26,2023-08-27,2023-08-26,2023-08-27,2,WORK_COMPLETED,Corrective scope executed and checked.,Calibration,Calibration performed; post-work functional check within tolerance.,TRUE,4.70,1386.30,
N0000223,WO0000129,PLT-RU-UTL-ELD,REL-UTL-ELD-01,2023-07-06,3,Operator Report,Utilities - Operations,,Insulation test trending below reference.,INSULATION_DEGRADATION,INSULATION_DEGRADATION,Electrical,,UTL-ELECTRICAL,Closed,2023-07-11,PM02,Completed,2023-08-27,2023-08-29,2023-08-27,2023-08-29,1,WORK_COMPLETED,Corrective scope executed and checked.,Component replacement,Component replacement performed; post-work functional check within tolerance.,TRUE,32.23,31048.02,
N0000224,WO0000130,PLT-RU-UTL-AIR,PT-UTL-AIR-01,2023-07-07,2,Operator Report,Utilities - Operations,,Pressure response delayed during process change.,IMPULSE_LINE_RESTRICTION,IMPULSE_LINE_RESTRICTION,Instrumentation,,UTL-INSTRUMENTATION,Closed,2023-07-12,PM02,Completed,2023-08-09,2023-08-09,2023-08-09,2023-08-09,1,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,6.90,1827.83,
N0000225,WO0000131,PLT-RU-LIM-DRV,GB-LIM-DRV-01,2023-07-09,3,Planned Inspection,Lime Kiln - Inspection,Planned Inspection,Oil sample shows elevated contamination.,OIL_CONTAMINATION,OIL_CONTAMINATION,Lubrication,,LIM-LUBRICATION,Closed,2023-07-11,PM02,Completed,2023-08-06,2023-08-07,2023-08-06,2023-08-07,1,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,4.61,2357.87,
N0000226,WO0000132,PLT-FL-DIG-BLC,XV-DIG-BLC-01,2023-07-11,2,Operator Report,Digester - Operations,,Valve travel sticks during small command changes.,VALVE_STICTION,VALVE_STICTION,Valves,,DIG-VALVES,Closed,2023-07-13,PM02,Completed,2023-07-22,2023-07-23,2023-07-22,2023-07-23,0,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,1.71,336.06,
N0000227,,PLT-RU-UTL-PWT,FV-UTL-PWT-01,2023-07-13,1,Operator Route,Utilities - Operations,Sensory Route,Actuator supply pressure decays while held.,ACTUATOR_LEAKAGE,ACTUATOR_LEAKAGE,Valves,,UTL-VALVES,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.38,251.91,
N0000228,,PLT-FL-DIG-DIS,XV-DIG-DIS-01,2023-07-13,1,Maintenance Sensory Route,Digester - Maintenance Route A,Sensory Route,Actuator supply pressure decays while held.,ACTUATOR_LEAKAGE,ACTUATOR_LEAKAGE,Valves,,DIG-VALVES,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.91,355.57,
N0000229,,PLT-RU-RB-STM,PV-RB-STM-01,2023-07-18,3,Operator Route,Recovery Boiler - Operations,Sensory Route,Valve travel sticks during small command changes.,VALVE_STICTION,VALVE_STICTION,Valves,,RB-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.89,214.87,
N0000230,,PLT-FL-WSH-FIL,LT-WSH-FIL-01,2023-07-20,3,Maintenance Sensory Route,Washing & Screening - Maintenance Route A,Sensory Route,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Automation,,WSH-AUTOMATION,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.39,111.48,
N0000231,WO0000133,PLT-RU-CAU-GLH,P-CAU-GLH-01,2023-07-20,3,Maintenance Sensory Route,Causticizing - Maintenance Route A,Sensory Route,Oil sample shows elevated contamination.,OIL_CONTAMINATION,OIL_CONTAMINATION,Lubrication,,CAU-LUBRICATION,Closed,2023-07-22,PM02,Completed,2023-10-26,2023-10-27,2023-10-26,2023-10-27,4,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,7.04,3601.62,
N0000232,,PLT-RU-UTL-STM,PT-UTL-STM-01,2023-07-20,1,Process Alarm,Utilities - Control Room,Process / Control Monitoring,Pressure response delayed during process change.,IMPULSE_LINE_RESTRICTION,IMPULSE_LINE_RESTRICTION,Instrumentation,,UTL-INSTRUMENTATION,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.89,354.63,
N0000233,WO0000134,PLT-FL-WSH-SCR,SCR-WSH-SCR-01,2023-07-20,3,Operator Report,Washing & Screening - Operations,,Oil sample shows elevated contamination.,OIL_CONTAMINATION,OIL_CONTAMINATION,Lubrication,Mechanical,WSH-MECHANICAL,Closed,2023-07-25,PM02,Completed,2023-09-11,2023-09-11,2023-09-11,2023-09-11,2,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,6.23,3189.05,
N0000234,WO0000135,PLT-FL-WSH-BSW,P-WSH-BSW-01,2023-07-21,3,Condition Monitoring,Washing & Screening - Condition Monitoring,Predictive Route,Elevated vibration at pump bearing housing.,PUMP_BEARING_VIBRATION,PUMP_BEARING_VIBRATION,Condition Monitoring,,WSH-CONDITION_MONITORING,Closed,2023-07-22,PM02,Completed,2023-09-20,2023-09-20,2023-09-20,2023-09-20,2,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,16.35,11564.46,
N0000235,WO0000136,PLT-FL-BLE-TWR,PV-BLE-TWR-01,2023-07-22,3,Operator Report,Bleaching - Operations,,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Valves,,BLE-VALVES,Closed,2023-07-23,PM02,Completed,2023-08-16,2023-08-17,2023-08-16,2023-08-17,0,WORK_COMPLETED,Corrective scope executed and checked.,Seal replacement,Seal replacement performed; post-work functional check within tolerance.,TRUE,4.82,2546.35,
N0000236,WO0000137,PLT-FL-DRY-LUB,P-DRY-LUB-01,2023-07-23,2,Condition Monitoring,Drying - Condition Monitoring,Predictive Route,Lubricant level below normal mark.,LOW_LUBE_LEVEL,LOW_LUBE_LEVEL,Lubrication,,DRY-LUBRICATION,Closed,2023-07-27,PM02,Completed,2023-09-08,2023-09-09,2023-09-08,2023-09-09,2,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,1.64,813.27,
N0000237,WO0000138,PLT-FL-BLE-DOS,FV-BLE-DOS-01,2023-07-24,2,Maintenance Sensory Route,Bleaching - Maintenance Route A,Sensory Route,Valve feedback differs from demanded position.,POSITIONER_DEVIATION,POSITIONER_DEVIATION,Valves,,BLE-VALVES,Closed,2023-07-28,PM02,Completed,2023-09-07,2023-09-07,2023-09-07,2023-09-07,2,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,1.45,280.81,
N0000238,WO0000139,PLT-FL-DRY-LUB,LU-DRY-LUB-01,2023-07-25,3,Process Alarm,Drying - Control Room,Process / Control Monitoring,Lubricant level below normal mark.,LOW_LUBE_LEVEL,LOW_LUBE_LEVEL,Mechanical,,DRY-MECHANICAL,Closed,2023-07-27,PM02,Completed,2023-09-07,2023-09-08,2023-09-07,2023-09-08,0,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,2.50,1237.16,
N0000239,WO0000140,PLT-RU-RB-STM,PT-RB-STM-01,2023-07-28,3,Operator Report,Recovery Boiler - Operations,,Measured output outside calibration tolerance.,CALIBRATION_DEVIATION,CALIBRATION_DEVIATION,Instrumentation,,RB-INSTRUMENTATION,Closed,2023-07-28,PM02,Completed,2023-09-13,2023-09-14,2023-09-13,2023-09-14,4,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,0.75,193.91,
