plant,island,area,system_id,system_name,functional_location,asset_id,asset_type,asset_description,primary_discipline,possible_disciplines,asset_criticality,criticality_basis
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-VAC,Vacuum System,PLT-RU-EVA-VAC,VAC-EVA-VAC-01,Vacuum System,Evaporator vacuum package,Mechanical,Mechanical;Instrumentation;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-VAC,Vacuum System,PLT-RU-EVA-VAC,M-EVA-VAC-01,Motor,Vacuum package motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Evaporation,SYS-RU-EVA-VAC,Vacuum System,PLT-RU-EVA-VAC,PT-EVA-VAC-01,Pressure Transmitter,Vacuum pressure transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-BLF,Black Liquor Firing,PLT-RU-RB-BLF,P-RB-BLF-01,Pump,Black liquor firing pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-BLF,Black Liquor Firing,PLT-RU-RB-BLF,M-RB-BLF-01,Motor,Black liquor firing pump motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-BLF,Black Liquor Firing,PLT-RU-RB-BLF,FV-RB-BLF-01,Control Valve,Black liquor firing control valve,Valves,Valves;Instrumentation,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-BLF,Black Liquor Firing,PLT-RU-RB-BLF,FT-RB-BLF-01,Flow Transmitter,Black liquor firing flow transmitter,Instrumentation,Instrumentation;Automation,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,PLT-RU-RB-AIR,FAN-RB-AIR-01,Fan,Recovery boiler combustion air fan,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,PLT-RU-RB-AIR,M-RB-AIR-01,Motor,Combustion air fan motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,PLT-RU-RB-AIR,DV-RB-AIR-01,Damper,Combustion air damper,Mechanical,Mechanical;Instrumentation;Automation,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,PLT-RU-RB-AIR,FT-RB-AIR-01,Flow Transmitter,Combustion air flow transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,PLT-RU-RB-FWS,P-RB-FWS-01,Pump,Recovery boiler feedwater pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,PLT-RU-RB-FWS,M-RB-FWS-01,Motor,Recovery boiler feedwater pump motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,PLT-RU-RB-FWS,FV-RB-FWS-01,Control Valve,Recovery boiler feedwater control valve,Valves,Valves;Instrumentation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,PLT-RU-RB-FWS,PT-RB-FWS-01,Pressure Transmitter,Recovery boiler feedwater pressure transmitter,Instrumentation,Instrumentation;Automation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SBL,Sootblowing,PLT-RU-RB-SBL,SBL-RB-SBL-01,Sootblower,Recovery boiler sootblower,Mechanical,Mechanical;Valves;Instrumentation,B,"Failure can significantly degrade the system or area, but does not normally stop the whole mill."
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SBL,Sootblowing,PLT-RU-RB-SBL,XV-RB-SBL-01,On/Off Valve,Sootblower steam isolation valve,Valves,Valves;Instrumentation,B,"Failure can significantly degrade the system or area, but does not normally stop the whole mill."
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SBL,Sootblowing,PLT-RU-RB-SBL,ZS-RB-SBL-01,Position Switch,Sootblower position switch,Instrumentation,Instrumentation;Automation,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SMT,Smelt Handling,PLT-RU-RB-SMT,AG-RB-SMT-01,Agitator,Smelt dissolving tank agitator,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SMT,Smelt Handling,PLT-RU-RB-SMT,M-RB-SMT-01,Motor,Smelt agitator motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SMT,Smelt Handling,PLT-RU-RB-SMT,P-RB-SMT-01,Pump,Smelt handling pump,Mechanical,Mechanical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SMT,Smelt Handling,PLT-RU-RB-SMT,LT-RB-SMT-01,Level Transmitter,Smelt tank level transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-STM,Steam / Pressure Control,PLT-RU-RB-STM,PV-RB-STM-01,Control Valve,Recovery boiler main steam pressure control valve,Valves,Valves;Instrumentation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-STM,Steam / Pressure Control,PLT-RU-RB-STM,PT-RB-STM-01,Pressure Transmitter,Recovery boiler steam pressure transmitter,Instrumentation,Instrumentation;Automation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-STM,Steam / Pressure Control,PLT-RU-RB-STM,TT-RB-STM-01,Temperature Transmitter,Recovery boiler steam temperature transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-STM,Steam / Pressure Control,PLT-RU-RB-STM,PSHH-RB-STM-01,Pressure Switch,Main steam high-high pressure protection,Instrumentation,Instrumentation;Automation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLH,Green Liquor Handling,PLT-RU-CAU-GLH,P-CAU-GLH-01,Pump,Green liquor transfer pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLH,Green Liquor Handling,PLT-RU-CAU-GLH,M-CAU-GLH-01,Motor,Green liquor pump motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLH,Green Liquor Handling,PLT-RU-CAU-GLH,FV-CAU-GLH-01,Control Valve,Green liquor flow control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLC,Green Liquor Clarification,PLT-RU-CAU-GLC,AG-CAU-GLC-01,Clarifier Drive,Green liquor clarifier drive,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLC,Green Liquor Clarification,PLT-RU-CAU-GLC,M-CAU-GLC-01,Motor,Green liquor clarifier motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLC,Green Liquor Clarification,PLT-RU-CAU-GLC,P-CAU-GLC-01,Pump,Green liquor clarifier pump,Mechanical,Mechanical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLC,Green Liquor Clarification,PLT-RU-CAU-GLC,LT-CAU-GLC-01,Level Transmitter,Green liquor clarifier level transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,PLT-RU-CAU-SLK,SLK-CAU-SLK-01,Slaker,Lime slaker,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,PLT-RU-CAU-SLK,M-CAU-SLK-01,Motor,Lime slaker motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,PLT-RU-CAU-SLK,FV-CAU-SLK-01,Control Valve,Slaker flow control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,PLT-RU-CAU-SLK,TT-CAU-SLK-01,Temperature Transmitter,Slaker temperature transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,PLT-RU-CAU-REA,AG-CAU-REA-01,Agitator,Causticizing reactor agitator,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,PLT-RU-CAU-REA,M-CAU-REA-01,Motor,Causticizing reactor agitator motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,PLT-RU-CAU-REA,FV-CAU-REA-01,Control Valve,Causticizing reactor flow control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,PLT-RU-CAU-REA,LT-CAU-REA-01,Level Transmitter,Causticizing reactor level transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,PLT-RU-CAU-WLC,P-CAU-WLC-01,Pump,White liquor clarification pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,PLT-RU-CAU-WLC,M-CAU-WLC-01,Motor,White liquor clarification pump motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,PLT-RU-CAU-WLC,FV-CAU-WLC-01,Control Valve,White liquor clarification control valve,Valves,Valves;Instrumentation,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,PLT-RU-CAU-WLC,FT-CAU-WLC-01,Flow Transmitter,White liquor clarification flow transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,PLT-RU-CAU-WLC,AG-CAU-WLC-01,Agitator,White liquor clarification agitator,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,PLT-RU-CAU-LMH,P-CAU-LMH-01,Pump,Lime mud handling pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,PLT-RU-CAU-LMH,M-CAU-LMH-01,Motor,Lime mud handling pump motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,PLT-RU-CAU-LMH,FV-CAU-LMH-01,Control Valve,Lime mud flow control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,PLT-RU-CAU-LMH,LT-CAU-LMH-01,Level Transmitter,Lime mud tank level transmitter,Instrumentation,Instrumentation;Automation,C,"Failure has predominantly local impact, with low production consequence, redundancy, bypass, or sufficient operating margin."
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,PLT-RU-LIM-LMF,P-LIM-LMF-01,Pump,Lime mud feed pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,PLT-RU-LIM-LMF,M-LIM-LMF-01,Motor,Lime mud feed pump motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,PLT-RU-LIM-LMF,FV-LIM-LMF-01,Control Valve,Lime mud feed control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,PLT-RU-LIM-LMF,FT-LIM-LMF-01,Flow Transmitter,Lime mud feed flow transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-DRV,Kiln Drive,PLT-RU-LIM-DRV,DRV-LIM-DRV-01,Drive,Lime kiln main drive,Mechanical,Mechanical;Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-DRV,Kiln Drive,PLT-RU-LIM-DRV,M-LIM-DRV-01,Motor,Lime kiln drive motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-DRV,Kiln Drive,PLT-RU-LIM-DRV,GB-LIM-DRV-01,Gearbox,Lime kiln drive gearbox,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-BRN,Burner System,PLT-RU-LIM-BRN,BRN-LIM-BRN-01,Burner,Lime kiln burner,Mechanical,Mechanical;Valves;Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-BRN,Burner System,PLT-RU-LIM-BRN,FV-LIM-BRN-01,Control Valve,Kiln fuel control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-BRN,Burner System,PLT-RU-LIM-BRN,FT-LIM-BRN-01,Flow Transmitter,Kiln fuel flow transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-IDF,Induced Draft,PLT-RU-LIM-IDF,FAN-LIM-IDF-01,Fan,Lime kiln induced draft fan,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-IDF,Induced Draft,PLT-RU-LIM-IDF,M-LIM-IDF-01,Motor,Induced draft fan motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop a critical area with immediate major production impact and limited short-term buffering.
Synthetic Pulp Mill,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-IDF,Induced Draft,PLT-RU-LIM-IDF,DV-LIM-IDF-01,Damper,Induced draft damper,Mechanical,Mechanical;Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,PLT-RU-UTL-AIR,CMP-UTL-AIR-01,Compressor,Plant compressed air compressor,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,PLT-RU-UTL-AIR,M-UTL-AIR-01,Motor,Compressed air compressor motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,PLT-RU-UTL-AIR,DRY-UTL-AIR-01,Air Dryer,Compressed air dryer,Mechanical,Mechanical;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,PLT-RU-UTL-AIR,PT-UTL-AIR-01,Pressure Transmitter,Plant air header pressure transmitter,Instrumentation,Instrumentation;Automation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,PLT-RU-UTL-PWT,P-UTL-PWT-01,Pump,Process water pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,PLT-RU-UTL-PWT,M-UTL-PWT-01,Motor,Process water pump motor,Electrical,Electrical;Condition Monitoring,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,PLT-RU-UTL-PWT,FV-UTL-PWT-01,Control Valve,Process water control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,PLT-RU-UTL-PWT,FT-UTL-PWT-01,Flow Transmitter,Process water flow transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-CWT,Cooling Water,PLT-RU-UTL-CWT,P-UTL-CWT-01,Pump,Cooling water pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-CWT,Cooling Water,PLT-RU-UTL-CWT,M-UTL-CWT-01,Motor,Cooling water pump motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-CWT,Cooling Water,PLT-RU-UTL-CWT,FV-UTL-CWT-01,Control Valve,Cooling water control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-CWT,Cooling Water,PLT-RU-UTL-CWT,PT-UTL-CWT-01,Pressure Transmitter,Cooling water header pressure transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,PLT-RU-UTL-BFW,P-UTL-BFW-01,Pump,Boiler feedwater utility pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,PLT-RU-UTL-BFW,M-UTL-BFW-01,Motor,Boiler feedwater pump motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,PLT-RU-UTL-BFW,FV-UTL-BFW-01,Control Valve,Boiler feedwater utility control valve,Valves,Valves;Instrumentation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,PLT-RU-UTL-BFW,PT-UTL-BFW-01,Pressure Transmitter,Boiler feedwater header pressure transmitter,Instrumentation,Instrumentation;Automation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-STM,Steam Distribution,PLT-RU-UTL-STM,PV-UTL-STM-01,Control Valve,Main steam distribution control valve,Valves,Valves;Instrumentation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-STM,Steam Distribution,PLT-RU-UTL-STM,PT-UTL-STM-01,Pressure Transmitter,Main steam header pressure transmitter,Instrumentation,Instrumentation;Automation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-STM,Steam Distribution,PLT-RU-UTL-STM,TT-UTL-STM-01,Temperature Transmitter,Main steam header temperature transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,PLT-RU-UTL-ELD,TR-UTL-ELD-01,Transformer,Main plant transformer,Electrical,Electrical;Condition Monitoring,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,PLT-RU-UTL-ELD,MCC-UTL-ELD-01,Motor Control Center,Main process MCC,Electrical,Electrical;Automation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,PLT-RU-UTL-ELD,CB-UTL-ELD-01,Circuit Breaker,Main distribution circuit breaker,Electrical,Electrical;Automation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
Synthetic Pulp Mill,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,PLT-RU-UTL-ELD,REL-UTL-ELD-01,Protection Relay,Main distribution protection relay,Electrical,Electrical;Automation,A,Single-point failure can stop or severely restrict total mill production or a plant-wide critical utility.
